
Date,High,Med,Low
2016/03/24 15:59:55,11579,11902,23702
2016/03/24 16:00:01,12090,10676,23078
2016/03/24 16:00:07,14007,9145,22807
2016/03/24 16:00:13,10453,12634,22892
2016/03/24 16:00:19,5192,17174,22798
2016/03/24 16:00:24,9704,13782,22858
2016/03/24 16:00:30,10211,12763,22921
2016/03/24 16:00:38,13143,9267,23462
2016/03/24 16:00:47,8777,12140,22037
2016/03/24 16:00:53,9671,10997,21427
2016/03/24 16:00:59,4716,17454,23756
2016/03/24 16:01:05,10952,12389,23795
2016/03/24 16:01:11,11513,11097,23254
2016/03/24 16:01:17,14068,8647,23186
2016/03/24 16:01:23,7500,14637,23694
2016/03/24 16:01:29,11365,11242,22991
2016/03/24 16:01:34,5465,12817,18579
2016/03/24 16:01:39,10336,10238,17682
2016/03/24 16:01:45,12489,9357,23627
2016/03/24 16:01:51,10286,12043,23296
2016/03/24 16:02:00,7978,14490,23356
2016/03/24 16:02:08,6360,16191,24549
2016/03/24 16:02:14,4375,14128,19726
2016/03/24 16:02:21,6066,16452,24204
2016/03/24 16:02:27,6556,15801,23500
2016/03/24 16:02:33,5751,16036,23404
2016/03/24 16:02:39,6679,15259,23386
2016/03/24 16:02:45,9625,12644,23342
2016/03/24 16:02:51,12509,10645,22495
2016/03/24 16:03:02,12392,10122,23694
2016/03/24 16:03:08,10988,11338,23479
2016/03/24 16:03:14,11975,10705,23088
2016/03/24 16:03:23,12297,9627,20046
2016/03/24 16:03:29,14571,9697,21699
2016/03/24 16:03:35,14906,9024,21797
2016/03/24 16:03:46,8622,16090,21407
2016/03/24 16:03:55,9838,14829,21059
2016/03/24 16:04:01,10061,14437,21473
2016/03/24 16:04:07,9131,14739,21700
2016/03/24 16:04:16,11050,12556,21873
2016/03/24 16:04:22,9058,15449,21437
2016/03/24 16:04:28,9180,15267,20993
2016/03/24 16:04:34,12586,11248,21870
2016/03/24 16:04:40,12464,11546,21141
2016/03/24 16:04:46,14508,8862,22293
2016/03/24 16:04:55,10504,14142,21679
2016/03/24 16:05:01,7247,18134,21673
2016/03/24 16:05:07,5098,14022,16125
2016/03/24 16:05:13,9145,15518,20984
2016/03/24 16:05:20,6475,18312,20807
2016/03/24 16:05:26,7814,16177,20859
2016/03/24 16:05:34,8392,16725,21925
2016/03/24 16:05:40,5970,18936,20733
2016/03/24 16:05:46,7073,17543,20642
2016/03/24 16:05:52,9461,15604,21977
2016/03/24 16:05:58,7301,17133,21136
2016/03/24 16:06:04,7796,16653,21315
2016/03/24 16:06:10,11106,12019,20715
2016/03/24 16:06:19,8858,14947,20896
2016/03/24 16:06:25,11628,12555,21679
2016/03/24 16:06:31,11188,13372,21022
2016/03/24 16:06:37,14123,9666,21957
2016/03/24 16:06:43,10633,13271,21676
2016/03/24 16:06:49,10512,13559,20882
2016/03/24 16:06:57,11800,12002,21876
2016/03/24 16:07:06,11555,10746,19531
2016/03/24 16:07:12,11446,9919,18947
2016/03/24 16:07:18,9947,10580,19471
2016/03/24 16:07:24,14866,9556,22633
2016/03/24 16:07:30,8501,15348,21157
2016/03/24 16:07:36,8431,16251,20523
2016/03/24 16:07:42,9084,15162,20415
2016/03/24 16:07:52,7574,17150,20922
2016/03/24 16:08:01,10789,13196,21915
2016/03/24 16:08:06,9459,15172,21361
2016/03/24 16:08:11,9077,13758,23208
2016/03/24 16:08:17,8656,14167,24184
2016/03/24 16:08:23,9171,13372,22761
2016/03/24 16:08:29,7376,14894,23385
2016/03/24 16:08:35,6178,15718,22883
2016/03/24 16:08:41,6743,15350,23444
2016/03/24 16:08:49,7872,15115,24024
2016/03/24 16:08:55,7907,13649,22276
2016/03/24 16:09:01,7165,15128,22948
2016/03/24 16:09:10,8706,14429,23861
2016/03/24 16:09:16,5539,15494,22156
2016/03/24 16:09:22,7553,14875,23140
2016/03/24 16:09:30,7713,15351,23921
2016/03/24 16:09:36,7468,13508,22462
2016/03/24 16:09:42,5578,16604,23317
2016/03/24 16:09:50,5591,17354,24090
2016/03/24 16:09:56,5260,15977,22566
2016/03/24 16:10:05,5914,16091,23585
2016/03/24 16:10:14,8592,13888,23337
2016/03/24 16:10:22,11623,11377,23995
2016/03/24 16:10:28,7374,11360,19403
2016/03/24 16:10:34,9346,13213,23004
2016/03/24 16:10:42,12228,10964,22641
2016/03/24 16:10:48,12095,9485,22303
2016/03/24 16:10:56,10708,11665,23161
2016/03/24 16:11:05,13051,9467,23085
2016/03/24 16:11:13,13304,9451,23035
2016/03/24 16:11:19,10137,11724,22430
2016/03/24 16:11:25,10903,11639,22984
2016/03/24 16:11:34,10036,13477,23499
2016/03/24 16:11:40,8891,13124,22761
2016/03/24 16:11:46,8953,12758,22480
2016/03/24 16:11:54,10638,11684,22127
2016/03/24 16:12:00,8809,11515,21355
2016/03/24 16:12:06,14087,8498,22977
2016/03/24 16:12:14,12075,10721,22597
2016/03/24 16:12:20,11511,7259,19398
2016/03/24 16:12:26,9681,12853,22955
2016/03/24 16:12:32,11304,11611,24085
2016/03/24 16:12:38,8388,13797,23187
2016/03/24 16:12:44,6752,15374,23354
2016/03/24 16:12:50,6586,15055,22663
2016/03/24 16:12:56,7191,14662,22702
2016/03/24 16:13:05,8079,14935,23986
2016/03/24 16:13:12,6399,16849,23220
2016/03/24 16:13:18,11188,11515,22638
2016/03/24 16:13:24,6091,16237,23260
2016/03/24 16:13:30,6237,15963,22703
2016/03/24 16:13:39,5984,15343,22867
2016/03/24 16:13:45,5545,16563,23312
2016/03/24 16:13:51,4065,17459,23565

